1692994348302,mob decapitated,Pig,TomHaselnuss,[Diamond Sword]
1693031092477,mob decapitated,Zombie,Annhilati,[Iron Sword]
1693082528186,mob decapitated,Zombified Piglin,Ichbineindino,[Diamond Sword]
1693083296894,mob decapitated,Creeper,Dr_Panda__,[Diamond Sword]
1693084199873,player decapitated,klule,moerggo,[Iron Sword]
1693139859406,mob decapitated,Creeper,BasisZock,[Netherite Sword]
1693142863225,mob decapitated,Skeleton,klule,[Diamond Sword]
1693146660355,player decapitated,moerggo,Goggelha,[Diamond Sword]
1693147054937,player decapitated,TomHaselnuss,moerggo,[Diamond Sword]
1693148276456,mob decapitated,Pillager,klule,[Diamond Sword]
1693148981897,player decapitated,moerggo,Pringelchen,[Iron Axe]
1693149054643,mob decapitated,Zombie,klule,[Diamond Sword]
1693149074948,mob decapitated,Zombie,Dr_Panda__,[Diamond Sword]
1693153338731,mob decapitated,Cow,Speakbleyt,[Slave Destroyer]
1693155254707,mob decapitated,Creeper,Speakbleyt,[Slave Destroyer]
1693155492852,mob decapitated,Skeleton,Speakbleyt,[Slave Destroyer]
1693158529199,mob decapitated,Magma Cube,BasisZock,[Netherite Sword]
1693164104697,mob decapitated,Drowned,Speakbleyt,[Slave Destroyer]
1693164749545,mob decapitated,Creeper,Ichbineindino,[Netherite Sword]
1693215278774,mob decapitated,Creeper,Speakbleyt,[Netherite Sword]
1693215797028,mob decapitated,Skeleton,Speakbleyt,[Netherite Sword]
1693222379091,mob decapitated,Creeper,Speakbleyt,[Netherite Sword]
1693222379093,mob decapitated,Skeleton,Speakbleyt,[Netherite Sword]
1693222486391,mob decapitated,Skeleton,Speakbleyt,[Netherite Sword]
1693228101865,mob decapitated,Zombie,Speakbleyt,[Netherite Sword]
1693236904767,mob decapitated,Zombified Piglin,klule,[Diamond Sword]
1693237075044,mob decapitated,Zombified Piglin,klule,[Diamond Sword]
1693239155537,mob decapitated,Magma Cube,Speakbleyt,[Sklavenhandler]
1693239557983,mob decapitated,Evoker,Goggelha,[Netherite Sword]
1693242637960,mob decapitated,Zombie Villager,moerggo,[Diamond Sword]
1693244366379,mob decapitated,Creeper,Speakbleyt,[Sklavenhandler]
1693247178991,mob decapitated,Cow,Speakbleyt,[Sklavenhandler]
1693249132965,mob decapitated,Creeper,General_Pieps,[Diamond Sword]
1693251785754,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693255227526,mob decapitated,Creeper,Speakbleyt,[Sklavenhandler]
1693258037337,mob decapitated,Spider,Mathqcal,[Iron Sword]
1693258127080,mob decapitated,Skeleton,Mathqcal,[Iron Axe]
1693261386318,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693261466169,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693261498668,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693284615827,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693284640520,mob decapitated,Vindicator,Ichbineindino,[Netherite Sword]
1693284699665,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693298296602,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693301275751,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693301510959,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693301536664,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693301929899,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693301949394,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693302042749,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693307640694,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693307670850,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693308536220,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693309884241,mob decapitated,Pillager,Speakbleyt,[Netherite Sword]
1693310002831,mob decapitated,Evoker,Speakbleyt,[Netherite Sword]
1693310177482,mob decapitated,Vindicator,Speakbleyt,[Netherite Sword]
1693310186228,mob decapitated,Pillager,Speakbleyt,[Netherite Sword]
1693311706024,mob decapitated,Magma Cube,Ichbineindino,[Netherite Sword]
1693312754478,mob decapitated,Cow,Speakbleyt,[Netherite Sword]
1693313270565,mob decapitated,Spider,Dr_Panda__,[Pandas Rache! ]
1693313442759,mob decapitated,Vindicator,moerggo,[Diamond Sword]
1693320305175,mob decapitated,Zombie,Goggelha,[Netherite Sword]
1693320542058,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693320887308,mob decapitated,Vindicator,moerggo,[Diamond Sword]
1693321236208,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693321257905,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693321396905,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693321500506,mob decapitated,Witch,Ichbineindino,[Netherite Sword]
1693322007664,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693324202948,mob decapitated,Magma Cube,klule,[Diamond Sword]
1693325379259,mob decapitated,Vindicator,Ichbineindino,[Netherite Sword]
1693325868163,mob decapitated,Evoker,Ichbineindino,[Netherite Sword]
1693325869858,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693326031411,mob decapitated,Evoker,Ichbineindino,[Netherite Sword]
1693326040759,mob decapitated,Vindicator,Ichbineindino,[Netherite Sword]
1693340977088,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693341929540,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693384601186,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693389037107,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693389325955,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693399614883,mob decapitated,Evoker,Ichbineindino,[Netherite Sword]
1693399984938,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693401730211,mob decapitated,Elder Guardian,Speakbleyt,[Netherite Sword]
1693402403391,mob decapitated,Wither Skeleton,Ichbineindino,[Netherite Sword]
1693406391048,mob decapitated,Zombie,Gooddayforyou,[Netherite Axe]
1693408720910,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693408794815,mob decapitated,Vindicator,Ichbineindino,[Netherite Sword]
1693412813255,mob decapitated,Zombie,klule,[Diamond Sword]
